Scope1,Absolute Time
1.000000,3568277514.661417
1.000000,3568277514.671418
1.000000,3568277514.681419
1.000000,3568277514.691415
1.000000,3568277514.701418
1.000000,3568277514.711418
1.000000,3568277514.721418
1.000000,3568277514.731420
1.000000,3568277514.741420
1.000000,3568277514.751419
1.000000,3568277514.761420
1.000000,3568277514.771420
1.000000,3568277514.781420
0.608264,3568277514.791417
0.113376,3568277514.801422
0.000000,3568277514.811421
-0.257759,3568277514.821423
-0.433027,3568277514.831421
-0.433027,3568277514.841422
-0.587664,3568277514.851422
-0.876339,3568277514.861423
-0.876339,3568277514.871423
-0.876339,3568277514.881423
-1.000000,3568277514.891421
-1.000000,3568277514.901423
-1.000000,3568277514.911423
-1.000000,3568277514.921426
-1.000000,3568277514.931425
-1.000000,3568277514.941425
-1.000000,3568277514.951426
-1.000000,3568277514.961425
-1.000000,3568277514.971426
-1.000000,3568277514.981428
-1.000000,3568277514.991424
-1.000000,3568277515.001427
-1.000000,3568277515.011426
-1.000000,3568277515.021428
-1.000000,3568277515.031427
-1.000000,3568277515.041428
-1.000000,3568277515.051427
-1.000000,3568277515.061429
-1.000000,3568277515.071429
-1.000000,3568277515.081429
-1.000000,3568277515.091426
-1.000000,3568277515.101430
-1.000000,3568277515.111429
-1.000000,3568277515.121430
-1.000000,3568277515.131430
-1.000000,3568277515.141430
-1.000000,3568277515.151431
-1.000000,3568277515.161433
-1.000000,3568277515.171432
-1.000000,3568277515.181432
-1.000000,3568277515.191429
-1.000000,3568277515.201433
-0.577349,3568277515.211432
-0.391766,3568277515.221433
-0.237129,3568277515.231433
-0.237129,3568277515.241434
-0.030946,3568277515.251433
0.000000,3568277515.261434
0.072146,3568277515.271435
0.329905,3568277515.281435
0.329905,3568277515.291431
0.577319,3568277515.301435
0.907224,3568277515.311434
0.907224,3568277515.321436
1.000000,3568277515.331435
1.000000,3568277515.341437
1.000000,3568277515.351437
1.000000,3568277515.361436
1.000000,3568277515.371437
1.000000,3568277515.381437
1.000000,3568277515.391435
1.000000,3568277515.401440
1.000000,3568277515.411438
1.000000,3568277515.421439
1.000000,3568277515.431437
1.000000,3568277515.441440
1.000000,3568277515.451439
1.000000,3568277515.461441
1.000000,3568277515.471439
1.000000,3568277515.481441
1.000000,3568277515.491437
1.000000,3568277515.501441
1.000000,3568277515.511441
1.000000,3568277515.521443
1.000000,3568277515.531441
1.000000,3568277515.541442
1.000000,3568277515.551442
1.000000,3568277515.561443
1.000000,3568277515.571442
1.000000,3568277515.581444
1.000000,3568277515.591441
1.000000,3568277515.601443
1.000000,3568277515.611444
1.000000,3568277515.621444
1.000000,3568277515.631445
1.000000,3568277515.641446
1.000000,3568277515.651444
1.000000,3568277515.661445
1.000000,3568277515.671446
1.000000,3568277515.681447
0.515458,3568277515.691444
0.515458,3568277515.701447
0.000000,3568277515.711447
-0.237129,3568277515.721447
-0.494888,3568277515.731447
-0.762932,3568277515.741447
-0.762932,3568277515.751448
-0.762932,3568277515.761450
-1.000000,3568277515.771448
-1.000000,3568277515.781448
-1.000000,3568277515.791445
-1.000000,3568277515.801449
-1.000000,3568277515.811449
-1.000000,3568277515.821450
-1.000000,3568277515.831450
-1.000000,3568277515.841450
-1.000000,3568277515.851450
-1.000000,3568277515.861451
-1.000000,3568277515.871451
-1.000000,3568277515.881452
-1.000000,3568277515.891448
-1.000000,3568277515.901453
-1.000000,3568277515.911453
-1.000000,3568277515.921453
-1.000000,3568277515.931453
-1.000000,3568277515.941454
-1.000000,3568277515.951452
-1.000000,3568277515.961453
-1.000000,3568277515.971455
-1.000000,3568277515.981455
-1.000000,3568277515.991452
-1.000000,3568277516.001456
-1.000000,3568277516.011456
-1.000000,3568277516.021455
-1.000000,3568277516.031455
-1.000000,3568277516.041456
-1.000000,3568277516.051456
